Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency
4.7,230.0,112.2,76.4,192.5,5.115,25.4,15.0
2.0,115.0,98.9,68.3,163.3,2.767,14.5,26.0
2.0,115.0,98.9,68.3,172.3,2.853,14.5,26.0
1.8,150.0,106.4,68.5,184.1,3.043,16.4,27.0
2.0,115.0,97.4,66.7,160.4,3.079,13.7,26.0
2.0,115.0,98.9,68.3,163.3,2.762,14.6,26.0
2.0,115.0,98.9,67.9,161.1,2.769,14.5,26.0
1.9,160.0,100.5,67.6,176.6,2.998,15.8,25.0
1.9,160.0,100.5,67.6,176.6,3.042,15.8,25.0
2.4,168.0,104.9,69.3,185.9,3.208,17.9,25.0
2.4,168.0,104.9,69.3,186.2,3.259,17.9,25.0
2.3,236.0,104.9,71.5,185.7,3.601,18.5,23.0
2.9,201.0,109.9,72.1,189.8,3.6,21.1,24.0
